Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Priority
ORD-10001,2022-04-20,2022-04-20,Standard Class,CUS-3251,Customer CUS-3251,Corporate,United States,City_86,Illinois,East,PROD-42849,Office Supplies,Copiers,Copiers Product PROD-42849,109.89,2,0.05,64.03,High
ORD-10002,2023-09-28,2023-09-28,Second Class,CUS-5667,Customer CUS-5667,Corporate,United States,City_55,Ohio,Central,PROD-81651,Furniture,Accessories,Accessories Product PROD-81651,3292.36,9,0.20,2142.78,Low
ORD-10003,2022-11-28,2022-11-28,Same Day,CUS-4137,Customer CUS-4137,Consumer,United States,City_23,Florida,West,PROD-99288,Furniture,Storage,Storage Product PROD-99288,806.15,6,0.15,693.49,Critical
ORD-10004,2023-05-09,2023-05-09,Same Day,CUS-2034,Customer CUS-2034,Home Office,United States,City_25,Virginia,Central,PROD-29663,Technology,Binders,Binders Product PROD-29663,224.34,5,0.05,208.75,Critical
ORD-10005,2022-03-07,2022-03-07,First Class,CUS-3001,Customer CUS-3001,Consumer,United States,City_56,Ohio,West,PROD-53684,Furniture,Accessories,Accessories Product PROD-53684,4525.79,10,0.00,2661.69,Critical
ORD-10006,2024-11-04,2024-11-04,First Class,CUS-4186,Customer CUS-4186,Home Office,United States,City_30,Ohio,South,PROD-16441,Office Supplies,Storage,Storage Product PROD-16441,973.34,2,0.00,844.18,High
ORD-10007,2023-12-05,2023-12-05,Second Class,CUS-6803,Customer CUS-6803,Home Office,United States,City_68,Washington,Central,PROD-31856,Furniture,Chairs,Chairs Product PROD-31856,2596.63,10,0.00,1987.71,Low
ORD-10008,2024-05-10,2024-05-10,Second Class,CUS-4620,Customer CUS-4620,Corporate,United States,City_15,Washington,West,PROD-36132,Furniture,Phones,Phones Product PROD-36132,1241.00,7,0.00,1068.32,Critical
ORD-10009,2024-06-14,2024-06-14,Standard Class,CUS-7421,Customer CUS-7421,Consumer,United States,City_53,Pennsylvania,Central,PROD-22715,Technology,Bookcases,Bookcases Product PROD-22715,424.87,2,0.20,379.43,Critical
ORD-10010,2023-05-27,2023-05-27,Same Day,CUS-3101,Customer CUS-3101,Corporate,United States,City_87,Georgia,Central,PROD-18531,Furniture,Chairs,Chairs Product PROD-18531,514.08,10,0.20,364.18,Low
